80,7264,26,24,24,24,0,0,0,0,0,0,0,0
81,7284,24,24,24,24,0,0,0,0,0,0,0,0
82,7304,23,16,16,16,24,24,0,0,0,0,0,0
84,7324,22,16,16,16,24,24,0,0,0,0,0,0
86,7344,20,16,16,16,24,24,0,0,0,0,0,0
87,7364,20,16,16,16,24,24,0,0,0,0,0,0
88,7384,18,16,16,16,24,24,0,0,0,0,0,0
89,7404,16,16,16,16,24,24,0,0,0,0,0,0
90,7424,16,16,16,16,24,24,0,0,0,0,0,0
91,7444,14,8,8,8,16,16,0,0,0,0,0,0
93,7464,13,8,8,8,16,16,0,0,0,0,0,0
95,7484,12,8,8,8,16,16,0,0,0,0,0,0
96,7504,10,8,8,8,16,16,0,0,0,0,0,0
97,7524,9,8,8,8,16,16,0,0,0,0,0,0
98,7544,8,8,8,8,16,16,0,0,0,0,0,0
99,7563,6,0,0,0,8,8,0,0,0,0,0,0
101,7583,5,0,0,0,8,8,0,0,0,0,0,0
103,7603,4,0,0,0,8,8,0,0,0,0,0,0
104,7623,2,0,0,0,8,8,0,0,0,0,0,0
105,7643,1,0,0,0,8,8,0,0,0,0,0,0
106,7663,0,0,0,0,8,8,0,0,0,0,0,0
107,7683,30,24,24,24,0,0,0,0,0,0,0,0
109,7703,29,24,24,24,0,0,0,0,0,0,0,0
111,7723,28,24,24,24,0,0,0,0,0,0,0,0
112,7743,27,24,24,24,0,0,0,0,0,0,0,0
113,7763,26,24,24,24,0,0,0,0,0,0,0,0
114,7783,24,24,24,24,0,0,0,0,0,0,0,0
115,7803,23,16,16,16,24,24,0,0,0,0,0,0
117,7823,22,16,16,16,24,24,0,0,0,0,0,0
119,7843,20,16,16,16,24,24,0,0,0,0,0,0
120,7863,19,16,16,16,24,24,0,0,0,0,0,0
121,7883,18,16,16,16,24,24,0,0,0,0,0,0
122,7903,16,16,16,16,24,24,0,0,0,0,0,0
123,7923,15,8,8,8,16,16,0,0,0,0,0,0
125,7943,14,8,8,8,16,16,0,0,0,0,0,0
127,7963,12,8,8,8,16,16,0,0,0,0,0,0
128,7983,11,8,8,8,16,16,0,0,0,0,0,0
129,8003,10,8,8,8,16,16,0,0,0,0,0,0
130,8023,8,8,8,8,16,16,0,0,0,0,0,0
131,8042,7,0,0,0,8,8,0,0,0,0,0,0
133,8062,6,0,0,0,8,8,0,0,0,0,0,0
135,8082,4,0,0,0,8,8,0,0,0,0,0,0
136,8102,3,0,0,0,8,8,0,0,0,0,0,0
137,8122,2,0,0,0,8,8,0,0,0,0,0,0
138,8142,0,0,0,0,8,8,0,0,0,0,0,0
139,8162,31,24,24,24,0,0,0,0,0,0,0,0
141,8182,30,24,24,24,0,0,0,0,0,0,0,0
143,8202,28,24,24,24,0,0,0,0,0,0,0,0
144,8222,27,24,24,24,0,0,0,0,0,0,0,0
145,8242,26,24,24,24,0,0,0,0,0,0,0,0
146,8262,24,24,24,24,0,0,0,0,0,0,0,0
147,8282,23,16,16,16,24,24,0,0,0,0,0,0
149,8302,22,16,16,16,24,24,0,0,0,0,0,0
151,8322,20,16,16,16,24,24,0,0,0,0,0,0
152,8342,19,16,16,16,24,24,0,0,0,0,0,0
153,8362,18,16,16,16,24,24,0,0,0,0,0,0
154,8382,16,16,16,16,24,24,0,0,0,0,0,0
155,8402,15,8,8,8,16,16,0,0,0,0,0,0
157,8422,14,8,8,8,16,16,0,0,0,0,0,0
159,8442,12,8,8,8,16,16,0,0,0,0,0,0
160,8462,11,8,8,8,16,16,0,0,0,0,0,0
161,8482,10,8,8,8,16,16,0,0,0,0,0,0
162,8502,8,8,8,8,16,16,0,0,0,0,0,0
163,8521,7,0,0,0,8,8,0,0,0,0,0,0
165,8541,6,0,0,0,8,8,0,0,0,0,0,0
167,8561,4,0,0,0,8,8,0,0,0,0,0,0
168,8581,3,0,0,0,8,8,0,0,0,0,0,0
169,8601,2,0,0,0,8,8,0,0,0,0,0,0
170,8621,0,0,0,0,8,8,0,0,0,0,0,0
171,8641,31,24,24,24,0,0,0,0,0,0,0,0
173,8661,30,24,24,24,0,0,0,0,0,0,0,0
175,8681,28,24,24,24,0,0,0,0,0,0,0,0
176,8701,27,24,24,24,0,0,0,0,0,0,0,0
177,8721,26,24,24,24,0,0,0,0,0,0,0,0
178,8741,24,24,24,24,0,0,0,0,0,0,0,0
179,8761,23,16,16,16,24,24,0,0,0,0,0,0
181,8781,22,16,16,16,24,24,0,0,0,0,0,0
183,8801,20,16,16,16,24,24,0,0,0,0,0,0
184,8821,19,16,16,16,24,24,0,0,0,0,0,0
185,8841,18,16,16,16,24,24,0,0,0,0,0,0
186,8861,16,16,16,16,24,24,0,0,0,0,0,0
187,8881,15,8,8,8,16,16,0,0,0,0,0,0
